#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-10-28T15:29:49 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-10-28T15:29:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=V/19/data,V/19/clusters&-source=V/19/data V/19/clusters&Cl=25&-out=B-V&-out=Vmag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#INFO	ivoid=ivo://cds.vizier/v/19	    IVOID of underlying data collection
#INFO	creator=Piskunov A.	    First author or institution
#INFO	cites=bibcode:1980BICDS..19...67P	    Article or Data origin sources
#INFO	original_date=1980	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/19	    Dataset landing page
#INFO	publication_date=1999-03-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	B-V	(F6.3)	B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
B-V;Vmag
 0.840;14.600
 0.840;14.600
 0.760;14.600
 0.690;14.600
 0.910;14.610
 0.740;14.610
 0.710;14.620
 0.620;14.630
 0.630;14.630
 0.710;14.640
 0.690;14.650
 0.700;14.650
 0.900;14.650
 0.850;14.650
 0.850;14.650
 0.850;14.650
 0.750;14.670
 0.890;14.700
 0.720;14.700
 0.630;14.710
 0.850;14.720
 0.850;14.720
 0.850;14.720
 0.790;14.740
 0.820;14.760
 0.760;14.770
 0.820;14.780
 0.830;14.810
 0.790;14.810
 0.850;14.830
 0.700;14.860
 0.720;14.860
 0.780;14.870
 0.780;14.870
 0.820;14.880
 0.680;14.880
 0.850;14.900
 0.860;14.900
 0.790;14.900
 0.770;14.910
 0.780;14.910
 0.740;14.910
 1.070;14.930
 1.020;14.930
 0.750;14.930
 0.900;14.940
 0.900;14.940
 0.900;14.940
 0.690;14.950
 1.020;14.960
 0.920;14.960
 0.920;14.960
 0.920;14.960
 0.810;14.980
 0.740;14.980
 0.800;15.000
 0.820;15.000
 0.800;15.010
 0.840;15.040
 0.960;15.050
 0.830;15.060
 0.760;15.080
 0.830;15.100
 0.800;15.120
 0.830;15.150
 0.920;15.160
 1.070;15.170
 0.910;15.200
 0.910;15.220
 0.880;15.270
 0.890;15.310
 0.900;15.330
 0.810;15.340
 0.820;15.340
 0.910;15.340
 0.900;15.340
 0.810;15.360
 0.900;15.370
 0.670;15.390
 0.680;15.420
 0.880;15.420
 0.960;15.470
 0.940;15.530
 0.260;15.540
 0.880;15.540
 0.890;15.550
 0.890;15.580
 0.850;15.630
 0.370;15.650

#Table	V_19_clusters:
#Name: V/19/clusters
#Title: General information on each cluster





